x_km,y_km,z_km,datetime
1915.632207473607,4156.255367200143,5207.200937928014,2025-06-07 01:30:00+00:00
3574.3066819134265,5782.526907403931,1391.3151940456266,2025-06-07 01:40:00+00:00
3750.9057245529325,5011.040027644779,-3003.260604978173,2025-06-07 01:50:00+00:00
2375.588180237835,2165.9731313932502,-6153.150243667353,2025-06-07 02:00:00+00:00
20.50674306840386,-1572.7235373127269,-6759.801187201197,2025-06-07 02:10:00+00:00
-2342.5993603224365,-4662.525787386702,-4572.6993379173055,2025-06-07 02:20:00+00:00
-3735.5013156031864,-5821.939879885981,-489.34481544009947,2025-06-07 02:30:00+00:00
-3576.2759266901735,-4562.475302320837,3797.1301817963667,2025-06-07 02:40:00+00:00
-1930.8669357344024,-1406.8406960114617,6502.058862713833,2025-06-07 02:50:00+00:00
515.3846984682732,2332.613716810808,6504.310228693653,2025-06-07 03:00:00+00:00
2748.040010965053,5105.668805082934,3805.0456830723056,2025-06-07 03:10:00+00:00
3841.1384233516033,5761.612972279272,-475.9005528421961,2025-06-07 03:20:00+00:00
3342.471859593497,4029.7868074279713,-4559.805945313737,2025-06-07 03:30:00+00:00
1462.8149877576525,632.6535229440499,-6756.145674598237,2025-06-07 03:40:00+00:00
-1019.6427994513339,-3025.3239843564847,-6161.471489173487,2025-06-07 03:50:00+00:00
-3080.5316595147715,-5433.659993959359,-3017.426623504095,2025-06-07 04:00:00+00:00
-3863.5752287981873,-5588.466172746761,1379.8647730714297,2025-06-07 04:10:00+00:00
-3040.491445793823,-3420.1149365266765,5201.8925663006685,2025-06-07 04:20:00+00:00
-954.8363727524205,168.69541703723496,6859.067241892139,2025-06-07 04:30:00+00:00
1526.5999808092363,3687.906148207265,5666.864394720868,2025-06-07 04:40:00+00:00
3375.237594806368,5678.6692845454245,2120.3636264897173,2025-06-07 04:50:00+00:00
3824.1966907641204,5314.538380760074,-2307.8324160889915,2025-06-07 05:00:00+00:00
2690.0793386735645,2750.1259125245715,-5779.206452548316,2025-06-07 05:10:00+00:00
445.983877886098,-949.3828350795133,-6860.988914208469,2025-06-07 05:20:00+00:00
-1981.6197203140096,-4257.26974816906,-5107.947375305354,2025-06-07 05:30:00+00:00
-3589.025257138183,-5803.794844219734,-1238.109632375298,2025-06-07 05:40:00+00:00
-3705.7242533501917,-4939.951678125342,3146.3278742027182,2025-06-07 05:50:00+00:00
-2282.1371054985457,-2022.7063367270478,6219.942834977073,2025-06-07 06:00:00+00:00
88.28040910374239,1734.043264706136,6707.341234790273,2025-06-07 06:10:00+00:00
2422.1023774767064,4772.4848956289425,4408.986632599664,2025-06-07 06:20:00+00:00
3751.6236994843484,5832.2141016495125,278.19375367516767,2025-06-07 06:30:00+00:00
3526.0055388112246,4474.229965468095,-3968.7436622673695,2025-06-07 06:40:00+00:00
1842.722540381183,1266.2539356831285,-6571.9583274730085,2025-06-07 06:50:00+00:00
-600.1499906592593,-2463.925599642399,-6459.850911746543,2025-06-07 07:00:00+00:00
-2794.8420885033906,-5176.884345042455,-3676.2902501400044,2025-06-07 07:10:00+00:00
-3830.911092624693,-5744.230023712592,633.2880317938352,2025-06-07 07:20:00+00:00
-3274.622655582362,-3924.011722748495,4678.577152973883,2025-06-07 07:30:00+00:00
-1358.0956714425547,-473.5911212881794,6776.129380923338,2025-06-07 07:40:00+00:00
