datetime,sat_name,norad_id,country,distance_km,relative_velocity_kms,sunlit,you_between_sun_and_target,your_pos_x,your_pos_y,your_pos_z,other_pos_x,other_pos_y,other_pos_z,your_vel_x,your_vel_y,your_vel_z,other_vel_x,other_vel_y,other_vel_z,rel_vel_x,rel_vel_y,rel_vel_z,rel_vel_radial_kms,rel_vel_tangential_kms,angular_velocity_deg_per_sec,azimuth_deg,elevation_deg
2025-06-08 23:40:00+00:00,JILIN-1 KUANFU 01C,52443,,33.24,0.143,False,False,-384.2578552314104,1075.5619189961706,6833.327669577224,-364.59149578444504,1085.4438588012358,6808.4133383957205,4.013209177954504,6.385724771318732,-0.7745524072184615,4.138907043285471,6.320037993045846,-0.7939737254559844,0.1256978653309666,-0.06568677827288649,-0.01942131823752291,0.069,0.125,0.215796,26.679,-48.542
2025-06-06 15:30:00+00:00,STARLINK-3925,52498,,44.99,7.244,True,False,-3521.734804862159,-4324.122730095111,4113.086744372068,-3492.7802242783505,-4345.911666338255,4086.4282848698754,1.8690467902667296,4.218090942294989,6.022726979638451,6.286273961691662,-1.1897959752965244,4.095113104823157,4.4172271714249325,-5.407886917591513,-1.927613874815294,6.605,2.975,3.789361,-36.962,-36.341
2025-06-06 13:30:00+00:00,STARLINK-4063,53132,,49.37,11.625,True,False,-1659.4150849670311,-3788.954978343669,-5571.296041278676,-1643.2254389286777,-3819.563714612955,-5536.101356690275,-3.8806303399174698,-4.779029964213039,4.411023268678972,6.84810657376528,-3.245552417123462,0.2068662067604218,10.72873691368275,1.5334775470895767,-4.20415706191855,-0.43,11.617,13.480887,-62.125,45.466
2025-06-06 02:10:00+00:00,STARLINK-4366,53227,,24.03,2.248,True,True,627.2555266522064,-668.8717265487039,-6880.267968211471,611.1131676755815,-684.2088079967656,-6889.298254367024,-4.275100104387086,-6.240349535433433,0.22051616692215395,-5.907635989064681,-4.719293782682685,-0.05527589970952313,-1.632535884677595,1.5210557527507476,-0.2757920666316771,0.23,2.237,5.333139,-136.465,-22.075
2025-06-07 03:10:00+00:00,STARLINK-4546,53422,,41.83,6.954,False,False,2748.040010965053,5105.668805082934,3805.0456830723056,2759.0786466399377,5099.526408341544,3765.166737179603,2.9806988129049343,3.0734935412629274,-6.256203133544115,-3.4087120745226076,5.133964108924102,-4.441100999593918,-6.389410887427542,2.060470567661175,1.8151021339501963,-3.719,5.877,8.048941,-29.094,-72.423
2025-06-07 05:40:00+00:00,STARLINK-4641,53730,,21.51,14.663,True,False,-3589.025257138183,-5803.794844219734,-1238.109632375298,-3575.156339089365,-5791.961471195378,-1249.521353477404,-1.5465661201202696,-0.6140224965562472,7.398955700397381,4.489721378228176,-1.498760335011392,-5.934935602886882,6.036287498348446,-0.8847378384551449,-13.333891303284263,10.48,10.256,27.319999,40.472,-32.044
2025-06-08 22:40:00+00:00,STARLINK-5024,53901,,44.47,13.324,False,False,2890.022461265139,3405.0065156797978,-5315.121397217904,2854.253029067969,3424.477477070324,-5297.257589869058,-2.519372369595176,-5.310924227462695,-4.770218774919783,-4.0127464385868175,6.1682444302535995,1.826557769308065,-1.4933740689916415,11.479168657716293,6.596776544227849,8.877,9.936,12.800924,151.438,23.684
2025-06-07 20:40:00+00:00,STARLINK-5114,54003,,34.83,13.52,False,False,1850.7794187559352,4171.213849776373,5218.757041059321,1869.7808707540798,4159.490418431467,5192.025656903065,3.629088461488196,4.520359198677759,-4.885751997437977,-7.27125052375574,0.6341719361477381,2.1052279286415443,-10.900338985243936,-3.8861872625300204,6.990979926079521,-10.004,9.094,14.960703,-31.674,-50.13
2025-06-09 21:50:00+00:00,STARLINK-5188,54096,,30.02,13.111,True,False,-2774.058219585899,-3326.7200151857555,5407.589539206457,-2762.1162188506296,-3338.7010208273196,5382.793437355549,2.5117928260578,5.45234151199625,4.63648825624975,4.424628083417402,-6.002252882152084,-1.448891033838288,1.912835257359602,-11.454594394148334,-6.085379290088039,10.36,8.035,15.337989,-45.093,-55.698
2025-06-08 13:50:00+00:00,STARLINK-5191,54763,,19.75,7.624,True,False,-3297.285781799914,-4241.546074135918,4376.605288873425,-3293.101349044585,-4223.504704324271,4369.740689111558,1.908054859854779,4.507870339223693,5.795727797460342,6.508480445055505,-1.208751947401788,3.7260621773313343,4.600425585200726,-5.716622286625482,-2.0696656201290073,-3.528,6.759,19.606307,76.942,-20.337
