datetime,sat_name,norad_id,country,distance_km,relative_velocity_kms,sunlit,you_between_sun_and_target
2025-06-05 10:10:00+00:00,SNUSAT-2,43782,,78.88,3.138,True,False
2025-05-01 21:10:00+00:00,KAZSTSAT,43783,,60.73,4.56,True,False
2025-05-01 21:10:00+00:00,SNUGLITE,43784,,68.22,3.244,True,False
2025-05-07 19:20:00+00:00,HAWK-B,43794,,61.43,3.405,True,False
2025-05-30 00:50:00+00:00,JY1SAT (JO-97),43803,,74.63,2.614,True,False
2025-05-09 13:40:00+00:00,SUOMI-100,43804,,50.3,2.75,False,False
2025-06-19 03:10:00+00:00,SUOMI-100,43804,,95.37,2.658,True,False
2025-04-24 15:50:00+00:00,EUCROPIS,43807,,99.13,2.918,False,False
2025-04-27 09:20:00+00:00,NEXTSAT-1,43811,,74.99,3.7,False,False
2025-06-09 06:00:00+00:00,NEXTSAT-1,43811,,74.48,3.721,False,True
2025-05-09 06:30:00+00:00,FALCONSAT-6,43815,,98.18,0.735,True,False
2025-05-24 17:50:00+00:00,FALCONSAT-6,43815,,63.57,0.672,False,False
2025-05-22 16:20:00+00:00,SAUDISAT 5A,43831,,93.09,1.996,False,False
2025-05-27 19:20:00+00:00,SAUDISAT 5A,43831,,97.28,1.986,False,False
2025-05-22 05:00:00+00:00,GRUS-1A,43890,,96.27,14.773,True,True
2025-06-06 20:30:00+00:00,JILIN-1 09,43943,,77.14,2.007,False,False
2025-06-21 04:40:00+00:00,JILIN-1 10,43946,,71.19,2.188,True,False
2025-05-08 08:10:00+00:00,PRISMA,44072,,97.32,0.554,True,False
2025-05-28 15:20:00+00:00,PRISMA,44072,,80.64,0.521,True,False
2025-06-02 16:40:00+00:00,PRISMA,44072,,85.09,0.509,True,False
2025-05-05 07:10:00+00:00,TIANQI-3,44314,,89.46,13.967,True,False
2025-06-04 14:40:00+00:00,PROX-1,44339,,63.53,12.785,False,False
2025-06-15 02:50:00+00:00,FORMOSAT 7-1,44349,,89.46,11.924,False,False
2025-05-19 23:40:00+00:00,ICEYE-X5,44389,,92.81,7.712,True,False
2025-05-02 00:20:00+00:00,COSMOS 2538,44424,,99.71,0.991,True,False
2025-05-10 16:00:00+00:00,COSMOS 2538,44424,,89.67,0.959,True,False
2025-06-13 13:00:00+00:00,COSMOS 2538,44424,,85.51,0.824,True,False
2025-06-16 02:00:00+00:00,YAOGAN-30 06A,44449,,99.08,13.582,True,False
2025-05-17 14:10:00+00:00,KX-09,44520,,96.71,8.476,True,False
2025-06-11 18:40:00+00:00,ZHUHAI-1 03D,44538,,99.08,7.137,False,False
2025-06-16 09:40:00+00:00,GAOFEN-7,44703,,94.94,1.261,True,False
2025-05-20 23:20:00+00:00,STARLINK-1008,44714,,27.05,14.467,False,False
2025-05-23 14:20:00+00:00,STARLINK-1008,44714,,82.29,14.666,True,False
2025-05-25 18:10:00+00:00,STARLINK-1008,44714,,46.22,14.655,False,False
2025-05-27 22:00:00+00:00,STARLINK-1008,44714,,22.14,14.52,True,False
2025-04-26 05:00:00+00:00,STARLINK-1011,44717,,85.96,5.762,False,False
2025-06-08 22:10:00+00:00,STARLINK-1015,44721,,53.9,11.625,False,False
2025-05-09 13:30:00+00:00,STARLINK-1019,44724,,30.56,11.667,True,False
2025-05-15 07:40:00+00:00,STARLINK-1046,44751,,78.48,11.047,False,False
2025-05-29 02:10:00+00:00,STARLINK-1054,44759,,90.42,14.546,False,False
2025-06-01 11:30:00+00:00,STARLINK-1054,44759,,81.1,14.668,False,False
2025-05-05 00:50:00+00:00,STARLINK-1068,44772,,78.73,8.306,True,False
2025-05-14 12:40:00+00:00,CARTOSAT-3,44804,,46.79,2.322,True,False
2025-04-22 01:30:00+00:00,TIANQIN 1 (CAS-6),44879,,37.83,0.248,False,False
2025-05-01 03:30:00+00:00,TIANQIN 1 (CAS-6),44879,,67.48,0.264,True,False
2025-05-10 06:20:00+00:00,TIANQIN 1 (CAS-6),44879,,74.61,0.282,False,False
2025-05-19 10:00:00+00:00,TIANQIN 1 (CAS-6),44879,,94.75,0.324,False,False
2025-05-28 15:20:00+00:00,TIANQIN 1 (CAS-6),44879,,95.96,0.326,True,False
2025-06-06 20:30:00+00:00,TIANQIN 1 (CAS-6),44879,,87.83,0.37,False,False
2025-04-29 18:50:00+00:00,ETRSS-1,44880,,47.88,0.295,False,False
2025-05-09 00:50:00+00:00,ETRSS-1,44880,,46.81,0.321,False,False
2025-05-18 07:40:00+00:00,ETRSS-1,44880,,32.54,0.343,True,False
2025-05-27 15:20:00+00:00,ETRSS-1,44880,,48.61,0.366,True,False
2025-06-05 23:40:00+00:00,ETRSS-1,44880,,71.18,0.389,False,False
2025-06-15 16:10:00+00:00,TIANYAN 01,44881,,74.41,0.421,True,False
2025-06-21 05:30:00+00:00,TIANYAN 01,44881,,78.9,0.421,False,False
2025-05-06 01:00:00+00:00,TIANYAN 02,44882,,69.08,0.994,False,False
2025-06-21 04:40:00+00:00,TIANYAN 02,44882,,75.29,1.185,True,False
2025-04-24 19:50:00+00:00,CBERS 4A,44883,,72.55,0.75,True,False
2025-05-22 13:10:00+00:00,CBERS 4A,44883,,86.3,0.747,False,False
2025-04-28 14:50:00+00:00,WEILAI 1R,44884,,94.09,0.654,True,False
2025-04-28 15:40:00+00:00,WEILAI 1R,44884,,43.91,0.661,False,False
2025-05-25 16:10:00+00:00,WEILAI 1R,44884,,85.14,0.745,False,False
2025-05-25 17:00:00+00:00,WEILAI 1R,44884,,76.2,0.753,True,False
2025-05-07 07:20:00+00:00,FLORIPASAT-1,44885,,62.16,1.009,False,False
2025-05-26 23:20:00+00:00,FLORIPASAT-1,44885,,93.83,1.085,True,False
2025-06-16 13:40:00+00:00,FLORIPASAT-1,44885,,78.25,1.169,False,False
2025-05-02 03:30:00+00:00,SHUNTIAN,44886,,96.97,0.733,True,False
2025-05-20 06:50:00+00:00,SHUNTIAN,44886,,65.73,0.79,False,False
2025-05-29 09:40:00+00:00,SHUNTIAN,44886,,96.19,0.814,False,False
2025-06-16 16:50:00+00:00,SHUNTIAN,44886,,80.03,0.866,False,False
2025-04-24 05:40:00+00:00,STARLINK-1098,44917,,58.81,14.12,True,False
2025-06-07 15:30:00+00:00,STARLINK-1098,44917,,84.64,11.599,True,False
2025-06-12 16:50:00+00:00,STARLINK-1091,44940,,76.93,14.072,True,False
2025-05-10 14:40:00+00:00,STARLINK-1122,44949,,98.85,7.14,True,False
2025-06-11 12:50:00+00:00,STARLINK-1066,44954,,30.49,14.425,False,False
